Label,names
CTRL,r1i1p1f2
CTRL,r2i1p1f2
CTRL,r3i1p1f2
CTRL,r4i1p1f2
CTRL,r5i1p1f2
CTRL,r6i1p1f2
CTRL,r7i1p1f2
CTRL,r8i1p1f2
CTRL,r9i1p1f2
CTRL,r10i1p1f2
CTRL,r201i1p1f1
CTRL,r202i1p1f1
CTRL,r203i1p1f1
CTRL,r204i1p1f1
CTRL,r205i1p1f1
CTRL,r206i1p1f1
CTRL,r207i1p1f1
CTRL,r208i1p1f1
CTRL,r209i1p1f1
CTRL,r210i1p1f1
MW,r201i1p1f4
MW,r202i1p1f4
MW,r203i1p1f4
MW,r204i1p1f4
MW,r205i1p1f4
MW,r206i1p1f4
MW,r207i1p1f4
MW,r208i1p1f4
MW,r209i1p1f4
MW,r210i1p1f4
WIND,r1i1p1f5
WIND,r201i1p1f5
WIND,r202i1p1f5
WIND&MW,r201i1p1f6
WIND&MW,r202i1p1f6

